participant_id,label,segment_id,slide_id,question_id,problem_id,segment_text,segment_text_with_context,n_rows_in_segment
DR_IT_05,IT,DR_IT_05_SEG_001,,,,", czyli wzięły nam zostanie z niego. Że jest zbędny","[SLIDE=None] [QUESTION=None] [PROBLEM=None] , czyli wzięły nam zostanie z niego. Że jest zbędny",1
DR_IT_05,IT,DR_IT_05_SEG_002,__S1__,,,"Na początku jest opisane w zasadzie, do czego służy badanie.mamy tutaj takie rzeczy , które miałabym oceniać.","[SLIDE=__S1__] [QUESTION=None] [PROBLEM=None] Na początku jest opisane w zasadzie, do czego służy badanie.mamy tutaj takie rzeczy , które miałabym oceniać.",1
DR_IT_05,IT,DR_IT_05_SEG_003,__S2__,,,"Tutaj mam opisany skąd pochodzi zbiór danych, na którym pracowały AI. No i jest napisane co z Uniwersytetu kalifornijskiego w. nie wymówię tej angielskiej nazwy. Wychodzi na to, że były dość specjalizował Uniwersytet. Który się specjalizuje w AI?","[SLIDE=__S2__] [QUESTION=None] [PROBLEM=None] Tutaj mam opisany skąd pochodzi zbiór danych, na którym pracowały AI. No i jest napisane co z Uniwersytetu kalifornijskiego w. nie wymówię tej angielskiej nazwy. Wychodzi na to, że były dość specjalizował Uniwersytet. Który się specjalizuje w AI?",5
DR_IT_05,IT,DR_IT_05_SEG_004,__S3__,,,"A no i dalej mamy. Napisane, że zbiór dalej jest dopiero informację o ponad 60000 owocników i 173 gatunkach. Grzybów. I mamy napisane, że wszystkie są grzybami, kapeluszowymi i mają trzon i hymenofor, czyli pewnie nie będzie grzybów takich bardziej. Bardziej. Więc zbliżone do tego, co przy tym nie człowiek widzi. Wyobrażam sobie Grzyba. A. I coś tam jak jest polityczna jest sytuacją.","[SLIDE=__S3__] [QUESTION=None] [PROBLEM=None] A no i dalej mamy. Napisane, że zbiór dalej jest dopiero informację o ponad 60000 owocników i 173 gatunkach. Grzybów. I mamy napisane, że wszystkie są grzybami, kapeluszowymi i mają trzon i hymenofor, czyli pewnie nie będzie grzybów takich bardziej. Bardziej. Więc zbliżone do tego, co przy tym nie człowiek widzi. Wyobrażam sobie Grzyba. A. I coś tam jak jest polityczna jest sytuacją.",8
DR_IT_05,IT,DR_IT_05_SEG_005,__S4__,,,"No i dalej mamy jakiś wykres. Na slajdzie numer 4 tak i tutaj te wykresy. Z tego co widzę, opisują? Jaka ilość. badanych grzybów ma jakąś cechę? Znaczy na przykład trochę ponad połowa była trująca tego typu rzeczy. żeby go sobie do 4 czy w całej reszcie","[SLIDE=__S4__] [QUESTION=None] [PROBLEM=None] No i dalej mamy jakiś wykres. Na slajdzie numer 4 tak i tutaj te wykresy. Z tego co widzę, opisują? Jaka ilość. badanych grzybów ma jakąś cechę? Znaczy na przykład trochę ponad połowa była trująca tego typu rzeczy. żeby go sobie do 4 czy w całej reszcie",7
DR_IT_05,IT,DR_IT_05_SEG_006,__S4__,__Q1__,,"Sposób wracają. No to większość grzybów ma ponad 12000 ma przerośnięte grodzki, troszkę mniej ponad 1000 ma biegające. Około 7 ma wykrojone około 6 ma rurki Troszkę ponad 5000 ma wolne, które są faliste, a brak żadnego specyficznego przystania. Poseł Przestania blaszek trzonu wykazuje około 3000 grzybów i brak danych jest w przypadku 10000 krzewów bazy danych, która była oczywiście podatki. No poza tym, że litery na slajdzie jest powiedzmy po prostu wykresów, to myślę, że mnie coś czytelny i myślę wyprosić łatwo z niego odczytać dane. Bo tutaj mamy napisane od razu. Pytanie zwraca się od razu do tytułu wykresu, więc od razu wiadomo czego szukać i też no co tylko. 2 rodzaje danych opisania na oś XYZ jest tylko nazwa rodzaju sposób przyrostu i ilość grzybów, więc myślę, że to jest dość intuicyjne.","[SLIDE=__S4__] [QUESTION=__Q1__] [PROBLEM=None] Sposób wracają. No to większość grzybów ma ponad 12000 ma przerośnięte grodzki, troszkę mniej ponad 1000 ma biegające. Około 7 ma wykrojone około 6 ma rurki Troszkę ponad 5000 ma wolne, które są faliste, a brak żadnego specyficznego przystania. Poseł Przestania blaszek trzonu wykazuje około 3000 grzybów i brak danych jest w przypadku 10000 krzewów bazy danych, która była oczywiście podatki. No poza tym, że litery na slajdzie jest powiedzmy po prostu wykresów, to myślę, że mnie coś czytelny i myślę wyprosić łatwo z niego odczytać dane. Bo tutaj mamy napisane od razu. Pytanie zwraca się od razu do tytułu wykresu, więc od razu wiadomo czego szukać i też no co tylko. 2 rodzaje danych opisania na oś XYZ jest tylko nazwa rodzaju sposób przyrostu i ilość grzybów, więc myślę, że to jest dość intuicyjne.",7
DR_IT_05,IT,DR_IT_05_SEG_007,__S5__,__Q1__,,"Teraz ten slajd, chyba, że teraz mam coś powiedzieć do końca.","[SLIDE=__S5__] [QUESTION=__Q1__] [PROBLEM=None] Teraz ten slajd, chyba, że teraz mam coś powiedzieć do końca.",1
DR_IT_05,IT,DR_IT_05_SEG_008,__S5__,__Q2__,,"Typu siedliska... Siedliska. No to zdecydowana większym przypływem rośnie w lasach, ponieważ tutaj słupek odnośnie lasów dominuje nad pozostałymi cała reszta. Większość reszty. To jest we rośnie trawa albo liście, więc zakładam, że chodzi o tereny trawiaste, albo tereny pokryte dużą ilością liści na przykład igieł też jakaś mała część występuje na łąkach i wrzosowiskach. A w mniejszych występuje nawet opisanych ścieżkach w jakichś miejscach z odpadami, również środowisku miejskiej miejskim, więc myślę, że to jest pełne i łatwe do odpytania. Może. Oprócz tych nazw słupków bo nie do końca wiem co oznaczają, ale wykres jest dobrze zrobiony. Tak. Szczerze chyba nie, może ten wykres (...) (...) jest troszkę dziwny, bo tutaj większości jest brak danych jest po prostu pokazane, że jakaś część jest bez (...). Nie ma żadnego alternatywnego typu. Więc tamten jeden wykres budzi wątpliwości, ale cała reszta jest dość mocno czytelna. No i jeszcze jest kwestia tego, że powierzchnia trzonu (...) zarodników, gdzie brak danych dobiera większość wykresów sprawia, że różnice pomiędzy tymi rzeczami, które są aktywnie stawiane, są dość małe i ciężko. Odczytach ile faktycznie tutaj jest tych.","[SLIDE=__S5__] [QUESTION=__Q2__] [PROBLEM=None] Typu siedliska... Siedliska. No to zdecydowana większym przypływem rośnie w lasach, ponieważ tutaj słupek odnośnie lasów dominuje nad pozostałymi cała reszta. Większość reszty. To jest we rośnie trawa albo liście, więc zakładam, że chodzi o tereny trawiaste, albo tereny pokryte dużą ilością liści na przykład igieł też jakaś mała część występuje na łąkach i wrzosowiskach. A w mniejszych występuje nawet opisanych ścieżkach w jakichś miejscach z odpadami, również środowisku miejskiej miejskim, więc myślę, że to jest pełne i łatwe do odpytania. Może. Oprócz tych nazw słupków bo nie do końca wiem co oznaczają, ale wykres jest dobrze zrobiony. Tak. Szczerze chyba nie, może ten wykres (...) (...) jest troszkę dziwny, bo tutaj większości jest brak danych jest po prostu pokazane, że jakaś część jest bez (...). Nie ma żadnego alternatywnego typu. Więc tamten jeden wykres budzi wątpliwości, ale cała reszta jest dość mocno czytelna. No i jeszcze jest kwestia tego, że powierzchnia trzonu (...) zarodników, gdzie brak danych dobiera większość wykresów sprawia, że różnice pomiędzy tymi rzeczami, które są aktywnie stawiane, są dość małe i ciężko. Odczytach ile faktycznie tutaj jest tych.",9
DR_IT_05,IT,DR_IT_05_SEG_009,__S6__,__Q2__,,Możemy przejść do następnego.,[SLIDE=__S6__] [QUESTION=__Q2__] [PROBLEM=None] Możemy przejść do następnego.,1
DR_IT_05,IT,DR_IT_05_SEG_010,__S6__,__Q3__,,"Muszę trochę przyjrzeć, bo nie ma wizualizacji obrazkowej, tylko jest dużo napisu, więc. Wysokość szerokość trzonu. Mały czytać dużo wyjdzie statystycznych jak odchylenie standardowe. Teraz niżej mamy brakujące dane, liczba i procent. Pytanie w połowie tego w sferze atakuje niektóre chcianych. Być może dlatego, że została wprowadzona? Jeżeli taki klub niego podpisany poddanym kontakt po prostu nie będzie tej danej, jeżeli coś nie jest szczególne i odchylone od. Tego, jak wygląda przeciętny Grzyb, to będzie ciężko to znaleźć, ale no, nie odczytuję tego wykresu, bo tutaj mam po prostu takie stawy. Procent w stosunku do całej reszty wszystkich grzybów, o których nie opisano do tej cechy, więc to nie wskazuje na przyczynę. Może z tych typów? Potem też. Końca specjalistyczna są wyszłoby i opisane, które tak mi się wydaje jak Wena for integration i kolor zarodników po raczej żaden taki amatorski powiedzmy wybierasz grzybów nie będzie nie będzie zwracał uwagę na takie, że tak kolor zarodników tylko będzie zwracał uwagę na przykład na to, że jest zdrowy i takie bardziej podstawowe cechy. Widać, co opisałem dokładnie, więc może to wynikać z tego, że ludzie nie zajmują tam taki naukowy sposób na codzień, tylko bardziej wybierają, a potem na podstawie tu jest pełna analiza, ale to też nie jest na podstawie tego, tylko bardzo nie stało. W. Czyli to nie jest z realizacja lajku tak, którzy zbierają, żeby hobbistycznie zaczytać tak, no na pewno nie to tutaj mamy właśnie te pojęcia, ze statystyką, którą tak naprawdę wykłada się tylko na studiach. No i mamy tutaj nazwy typowo biologiczne, które nie są do końca związane z tym, jakby patrzył się z tym grzybiarz i opisane postacie, które mamy się wydaje.","[SLIDE=__S6__] [QUESTION=__Q3__] [PROBLEM=None] Muszę trochę przyjrzeć, bo nie ma wizualizacji obrazkowej, tylko jest dużo napisu, więc. Wysokość szerokość trzonu. Mały czytać dużo wyjdzie statystycznych jak odchylenie standardowe. Teraz niżej mamy brakujące dane, liczba i procent. Pytanie w połowie tego w sferze atakuje niektóre chcianych. Być może dlatego, że została wprowadzona? Jeżeli taki klub niego podpisany poddanym kontakt po prostu nie będzie tej danej, jeżeli coś nie jest szczególne i odchylone od. Tego, jak wygląda przeciętny Grzyb, to będzie ciężko to znaleźć, ale no, nie odczytuję tego wykresu, bo tutaj mam po prostu takie stawy. Procent w stosunku do całej reszty wszystkich grzybów, o których nie opisano do tej cechy, więc to nie wskazuje na przyczynę. Może z tych typów? Potem też. Końca specjalistyczna są wyszłoby i opisane, które tak mi się wydaje jak Wena for integration i kolor zarodników po raczej żaden taki amatorski powiedzmy wybierasz grzybów nie będzie nie będzie zwracał uwagę na takie, że tak kolor zarodników tylko będzie zwracał uwagę na przykład na to, że jest zdrowy i takie bardziej podstawowe cechy. Widać, co opisałem dokładnie, więc może to wynikać z tego, że ludzie nie zajmują tam taki naukowy sposób na codzień, tylko bardziej wybierają, a potem na podstawie tu jest pełna analiza, ale to też nie jest na podstawie tego, tylko bardzo nie stało. W. Czyli to nie jest z realizacja lajku tak, którzy zbierają, żeby hobbistycznie zaczytać tak, no na pewno nie to tutaj mamy właśnie te pojęcia, ze statystyką, którą tak naprawdę wykłada się tylko na studiach. No i mamy tutaj nazwy typowo biologiczne, które nie są do końca związane z tym, jakby patrzył się z tym grzybiarz i opisane postacie, które mamy się wydaje.",15
